Country or Area,Year,Total Men and Women Employed
San Marino,1992,13.61
San Marino,1993,14.258
San Marino,1995,16.348
San Marino,1996,16.701
San Marino,1997,17.251
San Marino,1998,17.933
San Marino,1999,18.667
San Marino,2001,19.112
San Marino,2002,19.249
San Marino,2003,19.34
San Marino,2004,19.89
San Marino,2005,20.124
San Marino,2006,20.695
San Marino,2007,21.483
San Marino,2008,21.995
Sao Tome and Principe,1978,1.651
Sao Tome and Principe,1979,1.248
Sao Tome and Principe,1980,2.009
Sao Tome and Principe,1981,1.875
Sao Tome and Principe,1982,1.541
Sao Tome and Principe,1983,1.038
Sao Tome and Principe,1984,1.456
Sao Tome and Principe,1991,34.068
Saudi Arabia,1999,5592.854
Saudi Arabia,2000,5713.345
Saudi Arabia,2001,5808.617
Saudi Arabia,2002,5913.01
Saudi Arabia,2006,7522.984
Saudi Arabia,2007,7766.35
Saudi Arabia,2008,7956.832
Senegal,2006,3152.937
Serbia,2004,2930.846
Serbia,2005,2733.412
Serbia,2006,2630.691
Serbia,2007,2655.736
Serbia,2008,2821.72
Sierra Leone,2004,1933.009
Singapore,1970,650.892
Singapore,1973,799.618
Singapore,1974,824.4
Singapore,1975,833.5
Singapore,1976,870.4
Singapore,1977,903.9
Singapore,1978,955.6
Singapore,1979,1018.3
Singapore,1980,1068.9
Singapore,1981,1153.6
Singapore,1982,1221.1
Singapore,1983,1251.2
Singapore,1984,1269.2
Singapore,1985,2469.2
Singapore,1986,2428.82
Singapore,1987,2533.76
Singapore,1988,2663.136
Singapore,1989,2788.02
Singapore,1990,1485.8
Singapore,1991,3048.63
Singapore,1992,3152.302
Singapore,1993,3184.039
Singapore,1994,1649.296
Singapore,1995,1702.089
Singapore,1996,1748.14
Singapore,1997,1499.8
Singapore,1998,1493.8
Singapore,1999,1518.3
Singapore,2000,2094.8
Singapore,2001,1582.5
Singapore,2002,1573.7
Singapore,2003,1605.4
Singapore,2004,1632.1
Singapore,2006,3593.4
Singapore,2007,1803.2
Singapore,2008,1852
Slovakia,1994,2110.2
Slovakia,1995,2146.8
Slovakia,1996,2224.9
Slovakia,1997,2205.9
Slovakia,1998,2198.6
Slovakia,1999,2132.1
Slovakia,2000,2101.7
Slovakia,2001,4310.536
Slovakia,2002,2127
Slovakia,2003,2164.6
Slovakia,2004,2170.4
Slovakia,2005,2216.2
Slovakia,2006,2301.4
Slovakia,2007,2357.3
Slovakia,2008,2433.8
Slovenia,1993,845
Slovenia,1994,851
Slovenia,1995,882
Slovenia,1996,878
Slovenia,1997,898
Slovenia,1998,907
Slovenia,1999,892
Slovenia,2000,894
Slovenia,2001,914
Slovenia,2002,922
Slovenia,2003,896
Slovenia,2004,946
Slovenia,2005,947
Slovenia,2006,969
Slovenia,2007,994
Slovenia,2008,990
South Africa,2000,12238
South Africa,2001,11181
South Africa,2002,11296
South Africa,2003,11424
South Africa,2004,11643
South Africa,2005,12301
South Africa,2006,12800
South Africa,2007,13234
South Africa,2008,13713
Spain,1969,12328.1
Spain,1970,12432.9
Spain,1971,12499.2
Spain,1972,12535.4
Spain,1973,12850.7
Spain,1974,12924.1
Spain,1975,12691.9
Spain,1976,12317.1
Spain,1977,12328.4
Spain,1978,12104.951
Spain,1979,11912.848
Spain,1980,11559.109
Spain,1981,11232.375
Spain,1982,11118.041
Spain,1983,11045.438
Spain,1984,10744.656
Spain,1985,10641
Spain,1986,10889
Spain,1987,11368.8
Spain,1988,11772.6
Spain,1989,12258.3
Spain,1990,12578.8
Spain,1991,12609.4
Spain,1992,12822.3
Spain,1993,12293.8
Spain,1994,12207.6
Spain,1995,12512
Spain,1996,12871.5
Spain,1997,13345.6
Spain,1998,13904.2
Spain,1999,14689.8
Spain,2000,15505.9
Spain,2001,16146.3
Spain,2002,16630.3
Spain,2003,17295.9
Spain,2004,17970.8
Spain,2005,18973.2
Spain,2006,19747.7
Spain,2007,20356
Spain,2008,20257.63
Sri Lanka,1981,4737.7
Sri Lanka,1985,5131.749
Sri Lanka,1990,5963.7
Sri Lanka,1991,5136
Sri Lanka,1992,4985.75
Sri Lanka,1993,5072.075
Sri Lanka,1994,5148.35
Sri Lanka,1995,5315.96
Sri Lanka,1996,5586.94
Sri Lanka,1997,5569.35
Sri Lanka,1998,5946.15
Sri Lanka,2002,6519.415
Sri Lanka,2003,7012.755
Sri Lanka,2004,7394.029
Sri Lanka,2005,7518.007
Sri Lanka,2006,7105.3
Sri Lanka,2007,7041.9
Sri Lanka,2008,7174.707
Suriname,1973,74.745
Suriname,1974,77.707
Suriname,1975,80.256
Suriname,1976,82.427
Suriname,1977,88.853
Suriname,1978,95.759
Suriname,1979,95.675
Suriname,1982,81.589
Suriname,1983,68.541
Suriname,1984,67.68
Suriname,1985,67.035
Suriname,1986,75.108
Suriname,1987,66.553
Suriname,1988,67.471
Suriname,1989,69.177
Suriname,1990,149.069
Suriname,1992,88.635
Suriname,1993,83.411
Suriname,1994,77.899
Suriname,1995,82.452
Suriname,1996,87.209
Suriname,1997,82.85
Suriname,1998,88.244
Suriname,1999,72.834
Suriname,2004,156.705
Sweden,1969,3782
Sweden,1970,3854
Sweden,1971,3860
Sweden,1972,3862
Sweden,1973,3879
Sweden,1974,3962
Sweden,1975,4062
Sweden,1976,4088
Sweden,1977,4099
Sweden,1978,4115
Sweden,1979,4180
Sweden,1980,4232
Sweden,1981,4225
Sweden,1982,4219
Sweden,1983,4224
Sweden,1984,4255
Sweden,1985,4299
Sweden,1986,4299
Sweden,1987,8597
Sweden,1988,8717
Sweden,1989,8850
Sweden,1990,8934
Sweden,1991,8769
Sweden,1992,8404
Sweden,1993,7928
Sweden,1994,7854
Sweden,1995,3986
Sweden,1996,3963
Sweden,1997,3922
Sweden,1998,3979
Sweden,1999,4068
Sweden,2000,4159
Sweden,2001,4239
Sweden,2002,4244
Sweden,2003,4234
Sweden,2004,4213
Sweden,2005,4263
Sweden,2006,4341
Sweden,2007,4541
Sweden,2008,9186
Switzerland,1969,3081.5
Switzerland,1970,3124.1
Switzerland,1971,3199
Switzerland,1972,3243
Switzerland,1973,3277
Switzerland,1974,3273
Switzerland,1975,3117
Switzerland,1976,3024
Switzerland,1977,3035
Switzerland,1978,3067
Switzerland,1979,3094.8
Switzerland,1980,3165.9
Switzerland,1981,3240
Switzerland,1982,3256.3
Switzerland,1983,3256.5
Switzerland,1984,3288.2
Switzerland,1985,3354
Switzerland,1986,3430
Switzerland,1987,3515
Switzerland,1988,3607
Switzerland,1989,3704
Switzerland,1990,3821
Switzerland,1991,15464
Switzerland,1992,15322
Switzerland,1993,15242
Switzerland,1994,15154
Switzerland,1995,15226
Switzerland,1996,15309
Switzerland,1997,11520
Switzerland,1998,7839
Switzerland,1999,7900
Switzerland,2000,11748.416
Switzerland,2001,8084
Switzerland,2002,8136
Switzerland,2003,8119
Switzerland,2004,8128
Switzerland,2005,8175
Switzerland,2006,8355
Switzerland,2007,8535
Switzerland,2008,8724
Syrian Arab Republic,1970,1512.123
Syrian Arab Republic,1971,1522.328
Syrian Arab Republic,1972,1634.164
Syrian Arab Republic,1973,1612.071
Syrian Arab Republic,1974,1631.362
Syrian Arab Republic,1975,1750.467
Syrian Arab Republic,1976,1760.367
Syrian Arab Republic,1977,1894.425
Syrian Arab Republic,1978,1934.093
Syrian Arab Republic,1979,2092.13
Syrian Arab Republic,1983,2125.6
Syrian Arab Republic,1984,2246.3
Syrian Arab Republic,1989,2882.617
Syrian Arab Republic,1991,3249.936
Syrian Arab Republic,2001,4730
Syrian Arab Republic,2002,4821.757
Syrian Arab Republic,2007,4946
Tajikistan,2004,2452.6
Tanzania (Tanganyika),2001,16914.805
"Tanzania, United Republic of",2006,17944.558
Thailand,1971,16604.6
Thailand,1972,16057.9
Thailand,1973,16754.1
Thailand,1974,15401.5
Thailand,1975,16176.4
Thailand,1976,16113.1
Thailand,1977,18137.3
Thailand,1978,19215.2
Thailand,1979,19021.55
Thailand,1980,22523.1
Thailand,1981,20873
Thailand,1982,21611.4
Thailand,1983,22911.1
Thailand,1984,23802.5
Thailand,1985,25852.6
Thailand,1986,26690.7
Thailand,1987,27639.1
Thailand,1988,29462.3
Thailand,1989,30613.8
Thailand,1990,30842
Thailand,1991,31136.5
Thailand,1992,32383
Thailand,1993,32150.2
Thailand,1994,32093.2
Thailand,1995,32573.1
Thailand,1996,32231.6
Thailand,1997,33162.3
Thailand,1998,32138
Thailand,1999,32087.1
Thailand,2000,33001
Thailand,2001,33483.7
Thailand,2002,34262.9
Thailand,2003,34677.1
Thailand,2004,35711.6
Thailand,2005,36302.4
Thailand,2006,36344.6
Thailand,2007,37122.2
Thailand,2008,37836.6
Tonga,1984,52.2
Tonga,2003,34.56
Trinidad and Tobago,1974,333.9
Trinidad and Tobago,1975,332.4
Trinidad and Tobago,1977,370.8
Trinidad and Tobago,1978,387.8
Trinidad and Tobago,1979,397.1
Trinidad and Tobago,1980,387.9
Trinidad and Tobago,1981,389.6
Trinidad and Tobago,1982,400.9
Trinidad and Tobago,1983,399.4
Trinidad and Tobago,1984,406.8
Trinidad and Tobago,1985,392.2
Trinidad and Tobago,1986,390.5
Trinidad and Tobago,1987,372.3
Trinidad and Tobago,1988,371.5
Trinidad and Tobago,1989,365.7
Trinidad and Tobago,1990,687.258
Trinidad and Tobago,1991,401
Trinidad and Tobago,1992,405.9
Trinidad and Tobago,1993,404.5
Trinidad and Tobago,1994,415.6
Trinidad and Tobago,1995,431.5
Trinidad and Tobago,1996,444.2
Trinidad and Tobago,1997,459.8
Trinidad and Tobago,1998,479.3
Trinidad and Tobago,1999,489.4
Trinidad and Tobago,2000,503.1
Trinidad and Tobago,2001,514.1
Trinidad and Tobago,2002,525.1
Trinidad and Tobago,2003,534.1
Trinidad and Tobago,2004,562.2
Trinidad and Tobago,2005,574
Trinidad and Tobago,2006,586.2
Trinidad and Tobago,2007,587.8
Trinidad and Tobago,2008,597.6
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
